year,month,fuel_type,count
2017,12,Petrol,18018
2018,1,BEV,246
2018,1,CNG,91
2018,1,Diesel,7550
2018,1,Diesel PHEV,24
2018,1,Hybrid (Diesel),10
2018,1,Hybrid (Petrol),678
2018,1,Hydrogen,20
2018,1,PHEV,215
2018,1,Petrol,13217
2018,2,BEV,400
2018,2,CNG,100
2018,2,Diesel,7007
2018,2,Diesel PHEV,3
2018,2,Hybrid (Diesel),7
2018,2,Hybrid (Petrol),686
2018,2,LPG,2
2018,2,PHEV,180
2018,2,Petrol,13961
2018,3,BEV,672
2018,3,CNG,91
2018,3,Diesel,8339
2018,3,Diesel PHEV,14
2018,3,Hybrid (Diesel),25
2018,3,Hybrid (Petrol),939
2018,3,PHEV,238
2018,3,Petrol,18008
2018,4,BEV,277
2018,4,CNG,146
2018,4,Diesel,7451
2018,4,Diesel PHEV,5
2018,4,Hybrid (Diesel),30
2018,4,Hybrid (Petrol),1080
2018,4,Hydrogen,2
2018,4,PHEV,185
2018,4,Petrol,17249
2018,5,BEV,248
2018,5,CNG,70
2018,5,Diesel,8588
2018,5,Diesel PHEV,3
2018,5,Hybrid (Diesel),7
2018,5,Hybrid (Petrol),961
2018,5,Hydrogen,1
2018,5,PHEV,207
2018,5,Petrol,17628
2018,6,BEV,567
2018,6,CNG,98
2018,6,Diesel,9420
2018,6,Diesel PHEV,5
2018,6,Hybrid (Diesel),12
2018,6,Hybrid (Petrol),1150
2018,6,Hydrogen,1
2018,6,PHEV,255
2018,6,Petrol,19981
2018,7,BEV,226
2018,7,CNG,80
2018,7,Diesel,7616
2018,7,Diesel PHEV,2
2018,7,Hybrid (Diesel),56
2018,7,Hybrid (Petrol),1057
2018,7,PHEV,92
2018,7,Petrol,16162
2018,8,BEV,312
2018,8,CNG,60
2018,8,Diesel,6214
2018,8,Diesel PHEV,1
2018,8,Hybrid (Diesel),87
2018,8,Hybrid (Petrol),1014
2018,8,LPG,1
2018,8,PHEV,156
2018,8,Petrol,13621
2018,9,BEV,535
2018,9,CNG,18
2018,9,Diesel,5909
2018,9,Diesel PHEV,2
2018,9,Hybrid (Diesel),94
2018,9,Hybrid (Petrol),1145
2018,9,Hydrogen,1
2018,9,PHEV,100
2018,9,Petrol,12705
2018,10,BEV,408
2018,10,CNG,11
2018,10,Diesel,6029
2018,10,Diesel PHEV,2
2018,10,Hybrid (Diesel),127
2018,10,Hybrid (Petrol),1201
2018,10,PHEV,249
2018,10,Petrol,14690
2018,11,BEV,474
2018,11,CNG,14
2018,11,Diesel,7177
2018,11,Diesel PHEV,1
2018,11,Hybrid (Diesel),140
2018,11,Hybrid (Petrol),1217
2018,11,Hydrogen,1
2018,11,PHEV,194
2018,11,Petrol,14817
2018,12,BEV,749
2018,12,CNG,24
2018,12,Diesel,8805
2018,12,Diesel PHEV,1
2018,12,Hybrid (Diesel),209
2018,12,Hybrid (Petrol),1240
2018,12,Hydrogen,3
2018,12,PHEV,328
2018,12,Petrol,16105
2019,1,BEV,436
2019,1,CNG,12
2019,1,Diesel,6704
2019,1,Hybrid (Diesel),176
2019,1,Hybrid (Petrol),1034
2019,1,PHEV,99
2019,1,Petrol,12542
2019,2,BEV,750
2019,2,CNG,22
2019,2,Diesel,6562
2019,2,Hybrid (Diesel),108
2019,2,Hybrid (Petrol),1054
2019,2,PHEV,76
2019,2,Petrol,13786
2019,3,BEV,1918
2019,3,CNG,58
2019,3,Diesel,7187
2019,3,Hybrid (Diesel),179
2019,3,Hybrid (Petrol),1448
2019,3,Hydrogen,1
2019,3,PHEV,176
2019,3,Petrol,18299
2019,4,BEV,1050
2019,4,CNG,115
2019,4,Diesel,7395
2019,4,Hybrid (Diesel),115
2019,4,Hybrid (Petrol),1608
2019,4,PHEV,97
2019,4,Petrol,17943
2019,5,BEV,686
2019,5,CNG,165
2019,5,Diesel,7518
2019,5,Diesel PHEV,1
2019,5,Hybrid (Diesel),198
2019,5,Hybrid (Petrol),1822
2019,5,Hydrogen,9
2019,5,LPG,1
2019,5,PHEV,102
2019,5,Petrol,17712
2019,6,BEV,1152
2019,6,CNG,143
2019,6,Diesel,7552
2019,6,Diesel PHEV,1
2019,6,Hybrid (Diesel),290
2019,6,Hybrid (Petrol),1630
2019,6,Hydrogen,3
2019,6,PHEV,96
2019,6,Petrol,17537
2019,7,BEV,686
2019,7,CNG,101
2019,7,Diesel,6451
2019,7,Hybrid (Diesel),462
2019,7,Hybrid (Petrol),1516
2019,7,Hydrogen,2
2019,7,PHEV,173
2019,7,Petrol,15832
2019,8,BEV,626
2019,8,CNG,119
2019,8,Diesel,4905
2019,8,Diesel PHEV,1
2019,8,Hybrid (Diesel),307
2019,8,Hybrid (Petrol),1412
2019,8,Hydrogen,2
2019,8,PHEV,168
2019,8,Petrol,11986
2019,9,BEV,1582
2019,9,CNG,153
2019,9,Diesel,5336
2019,9,Hybrid (Diesel),423
2019,9,Hybrid (Petrol),1540
2019,9,Hydrogen,4
2019,9,LPG,1
2019,9,PHEV,258
2019,9,Petrol,14926
2019,10,BEV,666
2019,10,CNG,161
2019,10,Diesel,6232
2019,10,Diesel PHEV,4
2019,10,Hybrid (Diesel),502
2019,10,Hybrid (Petrol),1859
2019,10,Hydrogen,4
2019,10,PHEV,262
2019,10,Petrol,16345
2019,11,BEV,787
2019,11,CNG,126
2019,11,Diesel,5702
2019,11,Diesel PHEV,2
2019,11,Hybrid (Diesel),421
2019,11,Hybrid (Petrol),1993
2019,11,PHEV,285
2019,11,Petrol,14906
2019,12,BEV,2842
2019,12,CNG,74
2019,12,Diesel,7772
2019,12,Diesel PHEV,1
2019,12,Hybrid (Diesel),651
2019,12,Hybrid (Petrol),3156
2019,12,LPG,2
2019,12,PHEV,567
2019,12,Petrol,19588
2020,1,BEV,792
2020,1,CNG,149
2020,1,Diesel,4861
2020,1,Diesel PHEV,2
2020,1,Hybrid (Diesel),407
2020,1,Hybrid (Petrol),1798
2020,1,Hydrogen,10
2020,1,PHEV,515
2020,1,Petrol,10422
2020,2,BEV,784
2020,2,CNG,48
2020,2,Diesel,4768
2020,2,Diesel PHEV,1
2020,2,Hybrid (Diesel),332
2020,2,Hybrid (Petrol),1872
2020,2,Hydrogen,5
2020,2,PHEV,611
2020,2,Petrol,10749
2020,3,BEV,1593
2020,3,CNG,61
2020,3,Diesel,4073
2020,3,Diesel PHEV,2
2020,3,Hybrid (Diesel),330
